1000,0,0,1,0,1,0,0,1,0,1
10000,0,1,1,1,1,2,2,1,2,1
100000,0,3,3,1,4,0,8,1,7,1
1000000,0,2,7,9,24,4,22,6,46,7
10000000,5,29,28,53,116,59,211,52,310,70
100000000,48,262,264,315,1139,385,2082,520,3111,656
